iter	Passed	Remaining
0	66	198262
1	81	122040
2	94	94311
3	105	79234
4	118	70983
5	131	65806
6	143	61548
7	154	57914
8	163	54388
9	174	52080
10	183	49958
11	192	47985
12	204	47073
13	216	46198
14	228	45442
15	239	44620
16	246	43286
17	254	42187
18	260	40914
19	266	39714
20	272	38680
21	279	37800
22	285	36942
23	290	36066
24	296	35332
25	303	34669
26	308	33953
27	314	33410
28	321	32922
29	327	32437
30	333	31978
31	340	31535
32	346	31185
33	353	30817
34	359	30484
35	366	30158
36	372	29843
37	378	29471
38	385	29235
39	391	28955
40	397	28682
41	404	28478
42	412	28335
43	418	28112
44	424	27848
45	430	27641
46	436	27449
47	443	27264
48	450	27142
49	458	27031
50	465	26914
51	472	26775
52	477	26577
53	485	26464
54	489	26207
55	496	26094
56	503	26018
57	509	25833
58	515	25694
59	521	25557
60	528	25466
61	536	25441
62	543	25333
63	550	25266
64	557	25166
65	565	25122
66	572	25071
67	580	25041
68	586	24922
69	592	24814
70	600	24762
71	608	24742
72	615	24668
73	621	24570
74	629	24531
75	636	24470
76	642	24386
77	648	24310
78	653	24152
79	659	24089
80	666	24030
81	674	24003
82	681	23954
83	687	23880
84	694	23815
85	699	23713
86	706	23643
87	711	23559
88	719	23527
89	726	23490
90	733	23457
91	740	23414
92	746	23340
93	754	23310
94	761	23285
95	768	23254
96	774	23174
97	781	23144
98	788	23096
99	795	23063
100	802	23036
101	808	22975
102	815	22949
103	824	22949
104	832	22951
105	839	22916
106	846	22899
107	853	22848
108	860	22818
109	867	22795
110	873	22742
111	880	22695
112	888	22698
113	895	22666
114	902	22638
115	908	22596
116	915	22564
117	922	22527
118	930	22520
119	937	22493
120	943	22460
121	950	22421
122	957	22387
123	963	22353
124	969	22308
125	977	22290
126	985	22285
127	991	22244
128	998	22228
129	1004	22183
130	1011	22153
131	1018	22127
132	1025	22104
133	1032	22084
134	1039	22061
135	1043	21979
136	1051	21981
137	1058	21951
138	1065	21924
139	1072	21915
140	1079	21882
141	1086	21867
142	1093	21847
143	1100	21817
144	1106	21785
145	1114	21780
146	1121	21759
147	1126	21714
148	1133	21689
149	1140	21675
150	1146	21638
151	1154	21629
152	1162	21626
153	1169	21617
154	1176	21600
155	1184	21592
156	1191	21576
157	1199	21568
158	1203	21508
159	1211	21500
160	1218	21488
161	1226	21481
162	1231	21438
163	1239	21429
164	1245	21398
165	1251	21364
166	1257	21340
167	1264	21320
168	1271	21295
169	1279	21294
170	1285	21266
171	1291	21240
172	1298	21214
173	1304	21188
174	1312	21186
175	1320	21181
176	1325	21140
177	1333	21134
178	1340	21122
179	1346	21102
180	1353	21085
181	1360	21065
182	1367	21054
183	1374	21036
184	1380	21009
